Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,Source
1378-10-03,Vefa,Ankara Demirspor,0,0,D,Turkish_League_Hijri
1378-10-03,MKE Ankaragucu,Altay,2,1,H,Turkish_League_Hijri
1378-10-03,Karsiyaka,Adalet,3,1,H,Turkish_League_Hijri
1378-10-03,Ankara Keciorengucu,Izmirspor,1,0,H,Turkish_League_Hijri
1378-10-09,Adalet,Genclerbirligi,2,3,A,Turkish_League_Hijri
1378-10-09,Ankara Keciorengucu,Fenerbahce,1,4,A,Turkish_League_Hijri
1378-10-09,Fatih Karagumruk,Ankara Demirspor,1,2,A,Turkish_League_Hijri
1378-10-09,MKE Ankaragucu,Besiktas,1,3,A,Turkish_League_Hijri
1378-10-10,Adalet,Ankara Demirspor,0,0,D,Turkish_League_Hijri
1378-10-10,Ankara Keciorengucu,Besiktas,0,3,A,Turkish_League_Hijri
1378-10-10,Izmirspor,Altay,2,2,D,Turkish_League_Hijri
1378-10-10,Karsiyaka,Goztepe,0,3,A,Turkish_League_Hijri
1378-10-10,MKE Ankaragucu,Fenerbahce,2,3,A,Turkish_League_Hijri
1378-10-10,Fatih Karagumruk,Genclerbirligi,2,1,H,Turkish_League_Hijri
1378-10-20,Istanbulspor,Besiktas,1,2,A,Turkish_League_Hijri
1378-10-20,Adalet,Galatasaray,0,1,A,Turkish_League_Hijri
1378-10-23,Vefa,Goztepe,3,2,H,Turkish_League_Hijri
1378-10-23,Fatih Karagumruk,Karsiyaka,2,2,D,Turkish_League_Hijri
1378-10-24,Vefa,Karsiyaka,3,0,H,Turkish_League_Hijri
1378-10-24,Fatih Karagumruk,Goztepe,1,1,D,Turkish_League_Hijri
1378-11-01,MKE Ankaragucu,Ankara Keciorengucu,1,0,H,Turkish_League_Hijri
1378-11-01,Genclerbirligi,Ankara Demirspor,0,0,D,Turkish_League_Hijri
1378-11-05,Fatih Karagumruk,Vefa,1,2,A,Turkish_League_Hijri
1378-11-05,Beykoz 1908,Fenerbahce,0,1,A,Turkish_League_Hijri
1378-11-08,Beykoz 1908,Istanbulspor,0,0,D,Turkish_League_Hijri
1378-11-08,Karsiyaka,Ankara Demirspor,1,1,D,Turkish_League_Hijri
1378-11-08,Goztepe,Genclerbirligi,2,1,H,Turkish_League_Hijri
1378-11-08,Fatih Karagumruk,Galatasaray,2,3,A,Turkish_League_Hijri
1378-11-09,Karsiyaka,Genclerbirligi,1,1,D,Turkish_League_Hijri
1378-11-09,Besiktas,Fenerbahce,0,2,A,Turkish_League_Hijri
1378-11-09,Adalet,Vefa,1,1,D,Turkish_League_Hijri
1378-11-09,Goztepe,Ankara Demirspor,4,2,H,Turkish_League_Hijri
1378-11-29,Galatasaray,Vefa,1,1,D,Turkish_League_Hijri
1378-11-30,Fatih Karagumruk,Adalet,3,0,H,Turkish_League_Hijri
1378-11-30,Istanbulspor,Fenerbahce,0,5,A,Turkish_League_Hijri
1378-12-03,Galatasaray,Fenerbahce,1,0,H,Turkish_League_Hijri
1378-12-07,Fenerbahce,Galatasaray,4,0,H,Turkish_League_Hijri
1379-02-21,Galatasaray,Beykoz 1908,2,0,H,Turkish_League_Hijri
1379-02-24,Fatih Karagumruk,Adalet,2,0,H,Turkish_League_Hijri
1379-02-24,Fenerbahce,Ferikoy,2,1,H,Turkish_League_Hijri
1379-02-24,Izmirspor,Karsiyaka,1,2,A,Turkish_League_Hijri
1379-02-25,Goztepe,Altinordu,0,0,D,Turkish_League_Hijri
1379-02-25,Vefa,Besiktas,1,4,A,Turkish_League_Hijri
1379-02-25,Istanbulspor,Kasimpasa,1,0,H,Turkish_League_Hijri
1379-02-28,Istanbulspor,Ferikoy,0,0,D,Turkish_League_Hijri
1379-02-28,Fenerbahce,Kasimpasa,1,1,D,Turkish_League_Hijri
1379-03-02,Istanbulspor,Fatih Karagumruk,3,0,H,Turkish_League_Hijri
1379-03-02,Fenerbahce,Vefa,5,1,H,Turkish_League_Hijri
1379-03-02,Izmirspor,Altinordu,1,0,H,Turkish_League_Hijri
1379-03-03,Beykoz 1908,Adalet,0,0,D,Turkish_League_Hijri
1379-03-03,Galatasaray,Ferikoy,3,0,H,Turkish_League_Hijri
1379-03-03,Goztepe,Karsiyaka,1,0,H,Turkish_League_Hijri
1379-03-06,Galatasaray,Kasimpasa,0,0,D,Turkish_League_Hijri
1379-03-09,Turanspor,Ankara Keciorengucu,0,1,A,Turkish_League_Hijri
1379-03-09,Vefa,Adalet,1,0,H,Turkish_League_Hijri
1379-03-09,Beykoz 1908,Besiktas,1,1,D,Turkish_League_Hijri
1379-03-09,Genclerbirligi,MKE Ankaragucu,0,2,A,Turkish_League_Hijri
1379-03-10,Turanspor,Genclerbirligi,1,0,H,Turkish_League_Hijri
1379-03-10,MKE Ankaragucu,Ankara Keciorengucu,1,1,D,Turkish_League_Hijri
1379-03-16,Karsiyaka,Altay,2,0,H,Turkish_League_Hijri
1379-03-16,Izmirspor,Ankara Demirspor,0,0,D,Turkish_League_Hijri
1379-03-17,Karsiyaka,Ankara Demirspor,0,3,A,Turkish_League_Hijri
1379-03-17,Altay,Izmirspor,1,1,D,Turkish_League_Hijri
1379-03-20,Fatih Karagumruk,Kasimpasa,1,2,A,Turkish_League_Hijri
1379-03-20,Besiktas,Ferikoy,3,0,H,Turkish_League_Hijri
1379-03-23,Fatih Karagumruk,Ankara Keciorengucu,1,2,A,Turkish_League_Hijri
1379-03-23,Goztepe,Izmirspor,2,1,H,Turkish_League_Hijri
1379-03-23,Galatasaray,Genclerbirligi,3,0,H,Turkish_League_Hijri
1379-03-24,Fatih Karagumruk,Genclerbirligi,0,0,D,Turkish_League_Hijri
1379-03-24,Galatasaray,Ankara Keciorengucu,1,0,H,Turkish_League_Hijri
1379-03-24,Turanspor,MKE Ankaragucu,1,0,H,Turkish_League_Hijri
1379-03-24,Karsiyaka,Altinordu,1,3,A,Turkish_League_Hijri
1379-03-27,Vefa,Kasimpasa,1,0,H,Turkish_League_Hijri
1379-03-27,Galatasaray,Fatih Karagumruk,2,1,H,Turkish_League_Hijri
1379-03-30,Vefa,Karsiyaka,0,4,A,Turkish_League_Hijri
1379-03-30,Ankara Keciorengucu,Istanbulspor,0,4,A,Turkish_League_Hijri
1379-03-30,Altinordu,Adalet,6,0,H,Turkish_League_Hijri
1379-03-30,Fenerbahce,Izmirspor,2,2,D,Turkish_League_Hijri
1379-03-30,Genclerbirligi,Ferikoy,3,0,H,Turkish_League_Hijri
1379-03-30,Goztepe,Beykoz 1908,1,2,A,Turkish_League_Hijri
1379-04-01,Ankara Keciorengucu,Ferikoy,1,3,A,Turkish_League_Hijri
1379-04-01,Vefa,Izmirspor,3,2,H,Turkish_League_Hijri
1379-04-01,Goztepe,Adalet,0,0,D,Turkish_League_Hijri
1379-04-01,Fenerbahce,Karsiyaka,4,1,H,Turkish_League_Hijri
1379-04-01,Altinordu,Beykoz 1908,0,0,D,Turkish_League_Hijri
1379-04-01,Genclerbirligi,Istanbulspor,0,0,D,Turkish_League_Hijri
1379-04-04,Besiktas,Fatih Karagumruk,2,0,H,Turkish_League_Hijri
1379-04-04,Istanbulspor,Adalet,1,1,D,Turkish_League_Hijri
1379-04-07,Turanspor,Karsiyaka,1,0,H,Turkish_League_Hijri
1379-04-07,MKE Ankaragucu,Izmirspor,1,2,A,Turkish_League_Hijri
1379-04-07,Fatih Karagumruk,Altay,2,1,H,Turkish_League_Hijri
1379-04-07,Galatasaray,Ankara Demirspor,4,1,H,Turkish_League_Hijri
1379-04-08,Fatih Karagumruk,Ankara Demirspor,2,3,A,Turkish_League_Hijri
1379-04-08,Galatasaray,Altay,0,0,D,Turkish_League_Hijri
1379-04-08,MKE Ankaragucu,Karsiyaka,3,1,H,Turkish_League_Hijri
1379-04-08,Turanspor,Izmirspor,2,0,H,Turkish_League_Hijri
1379-04-11,Istanbulspor,Vefa,1,2,A,Turkish_League_Hijri
1379-04-11,Beykoz 1908,Fenerbahce,1,2,A,Turkish_League_Hijri
1379-04-14,Goztepe,Kasimpasa,4,1,H,Turkish_League_Hijri
1379-04-14,Adalet,Karsiyaka,2,1,H,Turkish_League_Hijri
1379-04-14,Genclerbirligi,Vefa,3,0,H,Turkish_League_Hijri
1379-04-14,Beykoz 1908,Izmirspor,1,1,D,Turkish_League_Hijri
1379-04-14,Ankara Keciorengucu,Fenerbahce,1,3,A,Turkish_League_Hijri
1379-04-14,Altinordu,Besiktas,0,3,A,Turkish_League_Hijri
1379-04-15,Goztepe,Besiktas,0,1,A,Turkish_League_Hijri
1379-04-15,Beykoz 1908,Karsiyaka,1,0,H,Turkish_League_Hijri
1379-04-15,Altinordu,Kasimpasa,1,3,A,Turkish_League_Hijri
1379-04-15,Adalet,Izmirspor,0,1,A,Turkish_League_Hijri
1379-04-15,Genclerbirligi,Fenerbahce,2,1,H,Turkish_League_Hijri
1379-04-15,Ankara Keciorengucu,Vefa,0,0,D,Turkish_League_Hijri
1379-04-18,Adalet,Ferikoy,2,0,H,Turkish_League_Hijri
1379-04-18,Besiktas,Istanbulspor,1,1,D,Turkish_League_Hijri
1379-04-21,Ankara Demirspor,MKE Ankaragucu,1,0,H,Turkish_League_Hijri
1379-04-21,Galatasaray,Altinordu,8,0,H,Turkish_League_Hijri
1379-04-21,Turanspor,Altay,0,1,A,Turkish_League_Hijri
1379-04-21,Fatih Karagumruk,Goztepe,2,0,H,Turkish_League_Hijri
1379-04-22,Galatasaray,Goztepe,2,1,H,Turkish_League_Hijri
1379-04-22,Ankara Demirspor,Turanspor,2,1,H,Turkish_League_Hijri
1379-04-22,MKE Ankaragucu,Altay,1,3,A,Turkish_League_Hijri
1379-04-22,Fatih Karagumruk,Altinordu,2,2,D,Turkish_League_Hijri
1379-04-25,Fenerbahce,Adalet,3,1,H,Turkish_League_Hijri
1379-04-25,Vefa,Beykoz 1908,3,2,H,Turkish_League_Hijri
1379-04-28,Fenerbahce,Turanspor,6,1,H,Turkish_League_Hijri
1379-04-28,Vefa,MKE Ankaragucu,3,1,H,Turkish_League_Hijri
1379-04-28,Izmirspor,Ferikoy,1,0,H,Turkish_League_Hijri
1379-04-28,Karsiyaka,Istanbulspor,1,2,A,Turkish_League_Hijri
1379-04-29,Genclerbirligi,Ankara Keciorengucu,2,1,H,Turkish_League_Hijri
1379-04-29,Karsiyaka,Ferikoy,2,0,H,Turkish_League_Hijri
1379-04-29,Vefa,Turanspor,1,1,D,Turkish_League_Hijri
1379-04-29,Fenerbahce,MKE Ankaragucu,5,1,H,Turkish_League_Hijri
1379-04-29,Izmirspor,Istanbulspor,0,0,D,Turkish_League_Hijri
1379-05-03,Ferikoy,Kasimpasa,1,1,D,Turkish_League_Hijri
1379-05-03,Besiktas,Adalet,4,1,H,Turkish_League_Hijri
1379-05-06,Genclerbirligi,Goztepe,0,0,D,Turkish_League_Hijri
1379-05-06,Vefa,Altay,1,0,H,Turkish_League_Hijri
1379-05-06,Ankara Keciorengucu,Altinordu,3,0,H,Turkish_League_Hijri
1379-05-06,Fenerbahce,Ankara Demirspor,1,0,H,Turkish_League_Hijri
1379-05-07,Genclerbirligi,Altinordu,3,1,H,Turkish_League_Hijri
1379-05-07,Fenerbahce,Altay,5,0,H,Turkish_League_Hijri
1379-05-07,Vefa,Ankara Demirspor,1,1,D,Turkish_League_Hijri
1379-05-07,Ankara Keciorengucu,Goztepe,2,1,H,Turkish_League_Hijri
1379-05-10,Kasimpasa,Besiktas,0,0,D,Turkish_League_Hijri
1379-05-10,Ferikoy,Beykoz 1908,2,0,H,Turkish_League_Hijri
1379-05-11,Fenerbahce,Fatih Karagumruk,0,2,A,Turkish_League_Hijri
1379-05-13,Istanbulspor,MKE Ankaragucu,1,1,D,Turkish_League_Hijri
1379-05-13,Beykoz 1908,Ankara Demirspor,0,0,D,Turkish_League_Hijri
1379-05-13,Altay,Adalet,2,0,H,Turkish_League_Hijri
1379-05-13,Ferikoy,Turanspor,2,1,H,Turkish_League_Hijri
1379-05-14,Ferikoy,MKE Ankaragucu,4,1,H,Turkish_League_Hijri
1379-05-14,Adalet,Ankara Demirspor,1,2,A,Turkish_League_Hijri
1379-05-14,Altay,Beykoz 1908,3,2,H,Turkish_League_Hijri
1379-05-14,Istanbulspor,Turanspor,1,1,D,Turkish_League_Hijri
1379-05-17,Galatasaray,Adalet,1,1,D,Turkish_League_Hijri
1379-05-17,Fatih Karagumruk,Vefa,2,0,H,Turkish_League_Hijri
1379-05-20,Altay,Kasimpasa,0,1,A,Turkish_League_Hijri
1379-05-20,Ankara Demirspor,Besiktas,0,1,A,Turkish_League_Hijri
1379-05-20,Adalet,Genclerbirligi,0,1,A,Turkish_League_Hijri
1379-05-20,Beykoz 1908,Ankara Keciorengucu,0,3,A,Turkish_League_Hijri
1379-05-21,Adalet,Ankara Keciorengucu,4,2,H,Turkish_League_Hijri
1379-05-21,Beykoz 1908,Genclerbirligi,1,0,H,Turkish_League_Hijri
1379-05-21,Ankara Demirspor,Kasimpasa,0,0,D,Turkish_League_Hijri
1379-05-21,Altay,Besiktas,0,3,A,Turkish_League_Hijri
1379-05-24,Fenerbahce,Istanbulspor,3,0,H,Turkish_League_Hijri
1379-05-24,Altay,Ankara Demirspor,1,1,D,Turkish_League_Hijri
