düzeltilmiş_hijri
tsl_dataset;;;;;;
Date;home;visitor;FT;hgoal;vgoal;result
1378-10-02;Vefa;Genclerbirligi;3-0;3;0;H
1378-10-02;Ankara Keciorengucu;Altay;2-0;2;0;H
1378-10-02;Goztepe;Adalet;2-3;2;3;A
1378-10-03;Goztepe;Fatih Karagumruk;3-0;3;0;H
1378-10-03;Galatasaray;Genclerbirligi;0-0;0;0;D
1378-10-03;Vefa;Ankara Demirspor;0-0;0;0;D
1378-10-03;MKE Ankaragucu;Altay;2-1;2;1;H
1378-10-03;Karsiyaka;Adalet;3-1;3;1;H
1378-10-03;Ankara Keciorengucu;Izmirspor;1-0;1;0;H
1378-10-09;Adalet;Genclerbirligi;2-3;2;3;A
1378-10-09;Ankara Keciorengucu;Fenerbahce;1-4;1;4;A
1378-10-09;Fatih Karagumruk;Ankara Demirspor;1-2;1;2;A
1378-10-09;MKE Ankaragucu;Besiktas;1-3;1;3;A
1378-10-10;Adalet;Ankara Demirspor;0-0;0;0;D
1378-10-10;Ankara Keciorengucu;Besiktas;0-3;0;3;A
1378-10-10;Izmirspor;Altay;2-2;2;2;D
1378-10-10;Karsiyaka;Goztepe;0-3;0;3;A
1378-10-10;MKE Ankaragucu;Fenerbahce;2-3;2;3;A
1378-10-10;Fatih Karagumruk;Genclerbirligi;2-1;2;1;H
1378-10-20;Istanbulspor;Besiktas;1-2;1;2;A
1378-10-20;Adalet;Galatasaray;0-1;0;1;A
1378-10-23;Vefa;Goztepe;3-2;3;2;H
1378-10-23;Fatih Karagumruk;Karsiyaka;2-2;2;2;D
1378-10-24;Vefa;Karsiyaka;3-0;3;0;H
1378-10-24;Fatih Karagumruk;Goztepe;1-1;1;1;D
1378-11-01;MKE Ankaragucu;Ankara Keciorengucu;1-0;1;0;H
1378-11-01;Genclerbirligi;Ankara Demirspor;0-0;0;0;D
1378-11-05;Fatih Karagumruk;Vefa;1-2;1;2;A
1378-11-05;Beykoz 1908;Fenerbahce;0-1;0;1;A
1378-11-08;Beykoz 1908;Istanbulspor;0-0;0;0;D
1378-11-08;Karsiyaka;Ankara Demirspor;1-1;1;1;D
1378-11-08;Goztepe;Genclerbirligi;2-1;2;1;H
1378-11-08;Fatih Karagumruk;Galatasaray;2-3;2;3;A
1378-11-09;Karsiyaka;Genclerbirligi;1-1;1;1;D
1378-11-09;Besiktas;Fenerbahce;0-2;0;2;A
1378-11-09;Adalet;Vefa;1-1;1;1;D
1378-11-09;Goztepe;Ankara Demirspor;4-2;4;2;H
1378-11-29;Galatasaray;Vefa;1-1;1;1;D
1378-11-30;Fatih Karagumruk;Adalet;3-0;3;0;H
1378-11-30;Istanbulspor;Fenerbahce;0-5;0;5;A
1378-12-03;Galatasaray;Fenerbahce;1-0;1;0;H
1378-12-07;Fenerbahce;Galatasaray;4-0;4;0;H
1379-02-21;Galatasaray;Beykoz 1908;2-0;2;0;H
1379-02-24;Fatih Karagumruk;Adalet;2-0;2;0;H
1379-02-24;Fenerbahce;Ferikoy;2-1;2;1;H
1379-02-24;Izmirspor;Karsiyaka;1-2;1;2;A
1379-02-25;Goztepe;Altinordu;0-0;0;0;D
1379-02-25;Vefa;Besiktas;1-4;1;4;A
1379-02-25;Istanbulspor;Kasimpasa;1-0;1;0;H
1379-02-28;Istanbulspor;Ferikoy;0-0;0;0;D
1379-02-28;Fenerbahce;Kasimpasa;1-1;1;1;D
1379-03-02;Istanbulspor;Fatih Karagumruk;3-0;3;0;H
1379-03-02;Fenerbahce;Vefa;5-1;5;1;H
1379-03-02;Izmirspor;Altinordu;1-0;1;0;H
1379-03-03;Beykoz 1908;Adalet;0-0;0;0;D
1379-03-03;Galatasaray;Ferikoy;3-0;3;0;H
1379-03-03;Goztepe;Karsiyaka;1-0;1;0;H
1379-03-06;Galatasaray;Kasimpasa;0-0;0;0;D
1379-03-09;Turanspor;Ankara Keciorengucu;0-1;0;1;A
1379-03-09;Vefa;Adalet;1-0;1;0;H
1379-03-09;Beykoz 1908;Besiktas;1-1;1;1;D
1379-03-09;Genclerbirligi;MKE Ankaragucu;0-2;0;2;A
1379-03-10;Turanspor;Genclerbirligi;1-0;1;0;H
1379-03-10;MKE Ankaragucu;Ankara Keciorengucu;1-1;1;1;D
1379-03-16;Karsiyaka;Altay;2-0;2;0;H
1379-03-16;Izmirspor;Ankara Demirspor;0-0;0;0;D
1379-03-17;Karsiyaka;Ankara Demirspor;0-3;0;3;A
1379-03-17;Altay;Izmirspor;1-1;1;1;D
1379-03-20;Fatih Karagumruk;Kasimpasa;1-2;1;2;A
1379-03-20;Besiktas;Ferikoy;3-0;3;0;H
1379-03-23;Fatih Karagumruk;Ankara Keciorengucu;1-2;1;2;A
1379-03-23;Goztepe;Izmirspor;2-1;2;1;H
1379-03-23;Galatasaray;Genclerbirligi;3-0;3;0;H
1379-03-24;Fatih Karagumruk;Genclerbirligi;0-0;0;0;D
1379-03-24;Galatasaray;Ankara Keciorengucu;1-0;1;0;H
1379-03-24;Turanspor;MKE Ankaragucu;1-0;1;0;H
1379-03-24;Karsiyaka;Altinordu;1-3;1;3;A
1379-03-27;Vefa;Kasimpasa;1-0;1;0;H
1379-03-27;Galatasaray;Fatih Karagumruk;2-1;2;1;H
1379-03-30;Vefa;Karsiyaka;0-4;0;4;A
1379-03-30;Ankara Keciorengucu;Istanbulspor;0-4;0;4;A
1379-03-30;Altinordu;Adalet;6-0;6;0;H
1379-03-30;Fenerbahce;Izmirspor;2-2;2;2;D
1379-03-30;Genclerbirligi;Ferikoy;3-0;3;0;H
1379-03-30;Goztepe;Beykoz 1908;1-2;1;2;A
1379-04-01;Ankara Keciorengucu;Ferikoy;1-3;1;3;A
1379-04-01;Vefa;Izmirspor;3-2;3;2;H
1379-04-01;Goztepe;Adalet;0-0;0;0;D
1379-04-01;Fenerbahce;Karsiyaka;4-1;4;1;H
1379-04-01;Altinordu;Beykoz 1908;0-0;0;0;D
1379-04-01;Genclerbirligi;Istanbulspor;0-0;0;0;D
1379-04-04;Besiktas;Fatih Karagumruk;2-0;2;0;H
1379-04-04;Istanbulspor;Adalet;1-1;1;1;D
1379-04-07;Turanspor;Karsiyaka;1-0;1;0;H
1379-04-07;MKE Ankaragucu;Izmirspor;1-2;1;2;A
1379-04-07;Fatih Karagumruk;Altay;2-1;2;1;H
1379-04-07;Galatasaray;Ankara Demirspor;4-1;4;1;H
1379-04-08;Fatih Karagumruk;Ankara Demirspor;2-3;2;3;A
1379-04-08;Galatasaray;Altay;0-0;0;0;D
1379-04-08;MKE Ankaragucu;Karsiyaka;3-1;3;1;H
1379-04-08;Turanspor;Izmirspor;2-0;2;0;H
1379-04-11;Istanbulspor;Vefa;1-2;1;2;A
1379-04-11;Beykoz 1908;Fenerbahce;1-2;1;2;A
1379-04-14;Goztepe;Kasimpasa;4-1;4;1;H
1379-04-14;Adalet;Karsiyaka;2-1;2;1;H
1379-04-14;Genclerbirligi;Vefa;3-0;3;0;H
1379-04-14;Beykoz 1908;Izmirspor;1-1;1;1;D
1379-04-14;Ankara Keciorengucu;Fenerbahce;1-3;1;3;A
1379-04-14;Altinordu;Besiktas;0-3;0;3;A
1379-04-15;Goztepe;Besiktas;0-1;0;1;A
1379-04-15;Beykoz 1908;Karsiyaka;1-0;1;0;H
1379-04-15;Altinordu;Kasimpasa;1-3;1;3;A
1379-04-15;Adalet;Izmirspor;0-1;0;1;A
1379-04-15;Genclerbirligi;Fenerbahce;2-1;2;1;H
1379-04-15;Ankara Keciorengucu;Vefa;0-0;0;0;D
1379-04-18;Adalet;Ferikoy;2-0;2;0;H
1379-04-18;Besiktas;Istanbulspor;1-1;1;1;D
1379-04-21;Ankara Demirspor;MKE Ankaragucu;1-0;1;0;H
1379-04-21;Galatasaray;Altinordu;8-0;8;0;H
1379-04-21;Turanspor;Altay;0-1;0;1;A
1379-04-21;Fatih Karagumruk;Goztepe;2-0;2;0;H
1379-04-22;Galatasaray;Goztepe;2-1;2;1;H
1379-04-22;Ankara Demirspor;Turanspor;2-1;2;1;H
1379-04-22;MKE Ankaragucu;Altay;1-3;1;3;A
1379-04-22;Fatih Karagumruk;Altinordu;2-2;2;2;D
1379-04-25;Fenerbahce;Adalet;3-1;3;1;H
1379-04-25;Vefa;Beykoz 1908;3-2;3;2;H
1379-04-28;Fenerbahce;Turanspor;6-1;6;1;H
1379-04-28;Vefa;MKE Ankaragucu;3-1;3;1;H
1379-04-28;Izmirspor;Ferikoy;1-0;1;0;H
1379-04-28;Karsiyaka;Istanbulspor;1-2;1;2;A
1379-04-29;Genclerbirligi;Ankara Keciorengucu;2-1;2;1;H
1379-04-29;Karsiyaka;Ferikoy;2-0;2;0;H
1379-04-29;Vefa;Turanspor;1-1;1;1;D
1379-04-29;Fenerbahce;MKE Ankaragucu;5-1;5;1;H
1379-04-29;Izmirspor;Istanbulspor;0-0;0;0;D
1379-05-03;Ferikoy;Kasimpasa;1-1;1;1;D
1379-05-03;Besiktas;Adalet;4-1;4;1;H
1379-05-06;Genclerbirligi;Goztepe;0-0;0;0;D
1379-05-06;Vefa;Altay;1-0;1;0;H
1379-05-06;Ankara Keciorengucu;Altinordu;3-0;3;0;H
1379-05-06;Fenerbahce;Ankara Demirspor;1-0;1;0;H
1379-05-07;Genclerbirligi;Altinordu;3-1;3;1;H
1379-05-07;Fenerbahce;Altay;5-0;5;0;H
1379-05-07;Vefa;Ankara Demirspor;1-1;1;1;D
1379-05-07;Ankara Keciorengucu;Goztepe;2-1;2;1;H
1379-05-10;Kasimpasa;Besiktas;0-0;0;0;D
1379-05-10;Ferikoy;Beykoz 1908;2-0;2;0;H
1379-05-11;Fenerbahce;Fatih Karagumruk;0-2;0;2;A
1379-05-13;Istanbulspor;MKE Ankaragucu;1-1;1;1;D
1379-05-13;Beykoz 1908;Ankara Demirspor;0-0;0;0;D
1379-05-13;Altay;Adalet;2-0;2;0;H
1379-05-13;Ferikoy;Turanspor;2-1;2;1;H
1379-05-14;Ferikoy;MKE Ankaragucu;4-1;4;1;H
1379-05-14;Adalet;Ankara Demirspor;1-2;1;2;A
1379-05-14;Altay;Beykoz 1908;3-2;3;2;H
1379-05-14;Istanbulspor;Turanspor;1-1;1;1;D
1379-05-17;Galatasaray;Adalet;1-1;1;1;D
1379-05-17;Fatih Karagumruk;Vefa;2-0;2;0;H
1379-05-20;Altay;Kasimpasa;0-1;0;1;A
1379-05-20;Ankara Demirspor;Besiktas;0-1;0;1;A
1379-05-20;Adalet;Genclerbirligi;0-1;0;1;A
1379-05-20;Beykoz 1908;Ankara Keciorengucu;0-3;0;3;A
1379-05-21;Adalet;Ankara Keciorengucu;4-2;4;2;H
1379-05-21;Beykoz 1908;Genclerbirligi;1-0;1;0;H
1379-05-21;Ankara Demirspor;Kasimpasa;0-0;0;0;D
1379-05-21;Altay;Besiktas;0-3;0;3;A
1379-05-24;Fenerbahce;Istanbulspor;3-0;3;0;H
1379-05-24;Altay;Ankara Demirspor;1-1;1;1;D
1379-05-27;MKE Ankaragucu;Galatasaray;0-1;0;1;A
1379-05-27;Besiktas;Izmirspor;1-0;1;0;H
1379-05-27;Turanspor;Fatih Karagumruk;3-1;3;1;H
1379-05-27;Kasimpasa;Karsiyaka;0-0;0;0;D
1379-05-27;Goztepe;Ankara Demirspor;2-2;2;2;D
1379-05-27;Altinordu;Altay;4-1;4;1;H
1379-05-28;Altinordu;Ankara Demirspor;1-2;1;2;A
1379-05-28;Turanspor;Galatasaray;1-1;1;1;D
1379-05-28;Besiktas;Karsiyaka;6-0;6;0;H
1379-05-28;Goztepe;Altay;3-1;3;1;H
1379-05-28;MKE Ankaragucu;Fatih Karagumruk;0-0;0;0;D
1379-05-28;Kasimpasa;Izmirspor;1-3;1;3;A
1379-06-01;Besiktas;Galatasaray;1-0;1;0;H
1379-06-04;Istanbulspor;Altay;3-2;3;2;H
1379-06-04;Karsiyaka;Genclerbirligi;0-1;0;1;A
1379-06-04;Ferikoy;Ankara Demirspor;2-1;2;1;H
1379-06-04;Izmirspor;Ankara Keciorengucu;5-3;5;3;H
1379-06-05;Karsiyaka;Ankara Keciorengucu;2-1;2;1;H
1379-06-05;Istanbulspor;Ankara Demirspor;1-3;1;3;A
1379-06-05;Izmirspor;Genclerbirligi;4-1;4;1;H
1379-06-05;Ferikoy;Altay;2-0;2;0;H
1379-06-08;Istanbulspor;Beykoz 1908;1-0;1;0;H
1379-06-08;Ferikoy;Vefa;1-0;1;0;H
1379-06-11;Ankara Demirspor;Ankara Keciorengucu;1-0;1;0;H
1379-06-11;Kasimpasa;MKE Ankaragucu;0-0;0;0;D
1379-06-11;Karsiyaka;Fatih Karagumruk;3-1;3;1;H
1379-06-11;Besiktas;Turanspor;1-0;1;0;H
1379-06-11;Genclerbirligi;Altay;5-0;5;0;H
1379-06-11;Izmirspor;Galatasaray;3-3;3;3;D
1379-06-12;Ankara Keciorengucu;Altay;1-1;1;1;D
1379-06-12;Izmirspor;Fatih Karagumruk;1-1;1;1;D
1379-06-12;Kasimpasa;Turanspor;3-2;3;2;H
1379-06-12;Karsiyaka;Galatasaray;0-0;0;0;D
1379-06-12;Ankara Demirspor;Genclerbirligi;1-1;1;1;D
1379-06-12;Besiktas;MKE Ankaragucu;2-0;2;0;H
1379-06-16;Fenerbahce;Galatasaray;1-0;1;0;H
1379-06-18;Istanbulspor;Altinordu;2-1;2;1;H
1379-06-18;MKE Ankaragucu;Beykoz 1908;1-1;1;1;D
1379-06-18;Ferikoy;Goztepe;1-0;1;0;H
1379-06-18;Turanspor;Adalet;0-2;0;2;A
1379-06-19;Ferikoy;Altinordu;1-0;1;0;H
1379-06-19;Istanbulspor;Goztepe;0-0;0;0;D
1379-06-19;MKE Ankaragucu;Adalet;1-0;1;0;H
1379-06-19;Turanspor;Beykoz 1908;2-3;2;3;A
1379-06-25;Ankara Keciorengucu;Kasimpasa;4-0;4;0;H
1379-06-25;Fatih Karagumruk;Ferikoy;2-1;2;1;H
1379-06-25;Genclerbirligi;Besiktas;0-1;0;1;A
1379-06-26;Genclerbirligi;Kasimpasa;2-1;2;1;H
1379-06-26;Ankara Keciorengucu;Besiktas;1-2;1;2;A
1379-06-26;Galatasaray;Istanbulspor;1-0;1;0;H
1379-06-29;Fatih Karagumruk;Beykoz 1908;0-0;0;0;D
1379-06-29;Kasimpasa;Adalet;3-0;3;0;H
1379-07-03;Altinordu;MKE Ankaragucu;2-0;2;0;H
1379-07-03;Beykoz 1908;Kasimpasa;1-0;1;0;H
1379-07-03;Galatasaray;Vefa;0-0;0;0;D
1379-07-03;Goztepe;Turanspor;0-0;0;0;D
1379-07-04;Altinordu;Turanspor;1-3;1;3;A
1379-07-04;Besiktas;Fenerbahce;1-0;1;0;H
1379-07-04;Goztepe;MKE Ankaragucu;3-2;3;2;H
1379-07-10;Goztepe;Vefa;3-1;3;1;H
1379-07-10;Altinordu;Fenerbahce;0-1;0;1;A
1379-07-11;Altinordu;Vefa;2-2;2;2;D
1379-07-11;Goztepe;Fenerbahce;0-0;0;0;D
1379-07-28;Adalet;Vefa;2-0;2;0;H
1379-07-28;Altay;Turanspor;2-0;2;0;H
1379-07-28;Beykoz 1908;Galatasaray;2-3;2;3;A
1379-08-01;Adalet;Fatih Karagumruk;0-0;0;0;D
1379-08-01;Izmirspor;Turanspor;0-1;0;1;A
1379-08-01;Besiktas;Vefa;2-1;2;1;H
1379-08-01;Karsiyaka;MKE Ankaragucu;1-1;1;1;D
1379-08-01;Genclerbirligi;Ankara Demirspor;3-0;3;0;H
1379-08-02;Ankara Keciorengucu;Ankara Demirspor;1-5;1;5;A
1379-08-02;Kasimpasa;Istanbulspor;0-3;0;3;A
1379-08-02;Karsiyaka;Turanspor;2-0;2;0;H
1379-08-02;Ferikoy;Fenerbahce;2-3;2;3;A
1379-08-02;Izmirspor;MKE Ankaragucu;3-0;3;0;H
1379-08-05;Vefa;Galatasaray;1-5;1;5;A
1379-08-05;Kasimpasa;Fenerbahce;1-4;1;4;A
1379-08-08;Kasimpasa;Galatasaray;0-4;0;4;A
1379-08-08;Adalet;Beykoz 1908;0-2;0;2;A
1379-08-08;MKE Ankaragucu;Genclerbirligi;4-2;4;2;H
1379-08-08;Goztepe;Istanbulspor;0-1;0;1;A
1379-08-08;Altinordu;Ferikoy;2-1;2;1;H
1379-08-08;Ankara Keciorengucu;Turanspor;0-1;0;1;A
1379-08-09;Adalet;Kasimpasa;4-1;4;1;H
1379-08-09;MKE Ankaragucu;Turanspor;0-4;0;4;A
1379-08-09;Goztepe;Ferikoy;2-1;2;1;H
1379-08-09;Ankara Keciorengucu;Genclerbirligi;2-2;2;2;D
1379-08-09;Vefa;Fenerbahce;0-1;0;1;A
1379-08-09;Altinordu;Istanbulspor;0-0;0;0;D
1379-08-12;Besiktas;Beykoz 1908;3-0;3;0;H
1379-08-12;Vefa;Fatih Karagumruk;1-5;1;5;A
1379-08-15;Genclerbirligi;Fatih Karagumruk;3-0;3;0;H
1379-08-15;Izmirspor;Adalet;1-0;1;0;H
1379-08-15;Ankara Keciorengucu;Galatasaray;1-2;1;2;A
1379-08-15;Besiktas;Altay;1-0;1;0;H
1379-08-15;Karsiyaka;Beykoz 1908;2-1;2;1;H
1379-08-15;Kasimpasa;Ankara Demirspor;1-2;1;2;A
1379-08-16;Kasimpasa;Altay;1-1;1;1;D
1379-08-16;Ankara Keciorengucu;Fatih Karagumruk;0-4;0;4;A
1379-08-16;Izmirspor;Beykoz 1908;4-1;4;1;H
1379-08-16;Besiktas;Ankara Demirspor;1-1;1;1;D
1379-08-16;Genclerbirligi;Galatasaray;2-2;2;2;D
1379-08-16;Karsiyaka;Adalet;1-0;1;0;H
1379-08-19;Vefa;Istanbulspor;1-0;1;0;H
1379-08-19;Fenerbahce;Beykoz 1908;4-0;4;0;H
1379-08-22;Ankara Demirspor;Fatih Karagumruk;2-1;2;1;H
1379-08-22;Kasimpasa;Altinordu;1-0;1;0;H
1379-08-22;Besiktas;Goztepe;3-1;3;1;H
1379-08-22;Altay;Galatasaray;0-3;0;3;A
1379-08-23;Altay;Fatih Karagumruk;1-2;1;2;A
1379-08-23;Kasimpasa;Goztepe;1-1;1;1;D
1379-08-23;Ankara Demirspor;Galatasaray;1-1;1;1;D
1379-08-23;Besiktas;Altinordu;2-0;2;0;H
1379-08-26;Istanbulspor;Galatasaray;0-3;0;3;A
1379-08-26;Ferikoy;Fatih Karagumruk;0-0;0;0;D
1379-08-26;Altay;Genclerbirligi;4-2;4;2;H
1379-08-29;Altinordu;Genclerbirligi;1-1;1;1;D
1379-08-29;Beykoz 1908;Vefa;1-1;1;1;D
1379-08-29;Adalet;Fenerbahce;0-1;0;1;A
1379-08-29;Goztepe;Ankara Keciorengucu;0-1;0;1;A
1379-09-01;Ankara Demirspor;Altay;3-2;3;2;H
1379-09-01;Ferikoy;Adalet;1-0;1;0;H
1379-09-01;Goztepe;Genclerbirligi;0-2;0;2;A
1379-09-01;Altinordu;Ankara Keciorengucu;0-0;0;0;D
1379-09-01;Istanbulspor;Besiktas;1-1;1;1;D
1379-09-04;Altay;Ankara Keciorengucu;2-1;2;1;H
1379-09-04;Besiktas;Kasimpasa;1-0;1;0;H
1379-09-04;Adalet;Galatasaray;0-2;0;2;A
1379-09-04;Ankara Demirspor;Altinordu;2-1;2;1;H
1379-09-07;Altay;Ferikoy;2-1;2;1;H
1379-09-07;MKE Ankaragucu;Goztepe;2-1;2;1;H
1379-09-07;Vefa;Ankara Keciorengucu;3-1;3;1;H
1379-09-07;Ankara Demirspor;Istanbulspor;1-2;1;2;A
1379-09-07;Fenerbahce;Genclerbirligi;4-3;4;3;H
1379-09-07;Turanspor;Altinordu;2-1;2;1;H
1379-09-08;Vefa;Genclerbirligi;1-0;1;0;H
1379-09-08;Turanspor;Goztepe;1-1;1;1;D
1379-09-08;Altay;Istanbulspor;2-1;2;1;H
1379-09-08;Fenerbahce;Ankara Keciorengucu;3-1;3;1;H
1379-09-08;Ankara Demirspor;Ferikoy;1-0;1;0;H
1379-09-08;MKE Ankaragucu;Altinordu;2-0;2;0;H
1379-09-11;Ankara Demirspor;Goztepe;1-0;1;0;H
1379-09-11;Adalet;Istanbulspor;0-0;0;0;D
1379-09-11;Fatih Karagumruk;Besiktas;1-4;1;4;A
1379-09-14;Beykoz 1908;Altinordu;6-3;6;3;H
1379-09-14;Turanspor;Kasimpasa;0-1;0;1;A
1379-09-14;Izmirspor;Vefa;1-1;1;1;D
1379-09-14;Adalet;Goztepe;0-0;0;0;D
1379-09-14;MKE Ankaragucu;Besiktas;0-0;0;0;D
1379-09-14;Karsiyaka;Fenerbahce;2-2;2;2;D
1379-09-15;Adalet;Altinordu;1-0;1;0;H
1379-09-15;MKE Ankaragucu;Kasimpasa;1-1;1;1;D
1379-09-15;Karsiyaka;Vefa;1-1;1;1;D
1379-09-15;Izmirspor;Fenerbahce;4-2;4;2;H
1379-09-15;Turanspor;Besiktas;0-0;0;0;D
1379-09-15;Beykoz 1908;Goztepe;0-0;0;0;D
1379-09-18;Kasimpasa;Vefa;0-0;0;0;D
1379-09-18;Istanbulspor;Fenerbahce;1-2;1;2;A
1379-09-21;Altinordu;Fatih Karagumruk;0-1;0;1;A
1379-09-21;Ferikoy;Ankara Keciorengucu;0-0;0;0;D
1379-09-21;Goztepe;Galatasaray;0-1;0;1;A
1379-09-21;Turanspor;Ankara Demirspor;1-1;1;1;D
1379-09-21;Istanbulspor;Genclerbirligi;1-0;1;0;H
1379-09-22;Altinordu;Galatasaray;1-3;1;3;A
1379-09-22;Goztepe;Fatih Karagumruk;0-1;0;1;A
1379-09-22;Istanbulspor;Ankara Keciorengucu;2-1;2;1;H
1379-09-22;Ferikoy;Genclerbirligi;1-0;1;0;H
1379-09-25;Kasimpasa;Beykoz 1908;1-0;1;0;H
1379-09-25;Vefa;Ferikoy;0-4;0;4;A
1379-09-28;Karsiyaka;Besiktas;0-2;0;2;A
1379-09-28;Fatih Karagumruk;Istanbulspor;0-0;0;0;D
1379-09-28;Ankara Demirspor;Vefa;1-1;1;1;D
1379-09-28;Izmirspor;Kasimpasa;1-1;1;1;D
1379-09-28;Ferikoy;Galatasaray;1-2;1;2;A
1379-09-28;Altay;Fenerbahce;1-2;1;2;A
1379-09-29;Altay;Vefa;0-0;0;0;D
1379-09-29;Beykoz 1908;Ferikoy;2-1;2;1;H
1379-09-29;Karsiyaka;Kasimpasa;0-0;0;0;D
1379-09-29;Fatih Karagumruk;Galatasaray;1-0;1;0;H
1379-09-29;Ankara Demirspor;Fenerbahce;0-1;0;1;A
1379-09-29;Izmirspor;Besiktas;3-1;3;1;H
1379-10-02;Beykoz 1908;Fatih Karagumruk;0-3;0;3;A
1379-10-02;Adalet;Besiktas;0-2;0;2;A
1379-10-02;Altay;MKE Ankaragucu;1-1;1;1;D
1379-10-05;Ferikoy;Karsiyaka;2-0;2;0;H
1379-10-05;Altay;Goztepe;4-2;4;2;H
1379-10-05;Istanbulspor;Izmirspor;2-2;2;2;D
